 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)조아라,서울특별시 ,"서울특별시 금천구 가산디지털1로 131, B동 21층 2104호 (가산동, BYC HIGHCITY 지식산업센터)",37.4769739,126.8823128,정보통신업,중소기업 76,1,0,1,2
(주)종합건축사사무소 가람건축,서울특별시 ,"서울특별시 강남구 도산대로 165, 4층 (신사동, 신사힐)",37.5194459,127.0266103,"전문, 과학 및 기술 서비스업",중소기업 343,1,1,0,2
(주)좋은사람들,서울특별시 ,서울특별시 마포구 양화로 162,37.5563512,126.923885,제조업,중소기업 159,0,1,0,1
(주)지란지교시큐리티,서울특별시 ,"서울특별시 강남구 역삼로 542, 5층(대치동, 신사에스앤지)",37.5039421,127.062331,"전문, 과학 및 기술 서비스업",중소기업 137,1,1,1,3
(주)지엔엠라이프,서울특별시 ,"서울특별시 영등포구 선유로 130(양평동3가, 에이스 하이테크시티3)",37.5251957,126.8913598,도매 및 소매업,중소기업 70,1,1,1,3
(주)지오시스템,서울특별시 ,서울특별시 마포구 토정로14길 27,37.5440825,126.9322961,도매 및 소매업,중소기업 29,0,1,1,2
(주)지인시스템,서울특별시 ,"서울특별시 송파구 송파대로167, 비동 1303호(문정동, 문정역테라타워)",37.484765,127.1211569,정보통신업,중소기업 43,0,1,1,2
(주)지테크시스템,서울특별시 ,"서울특별시 금천구 가산디지털2로 70, 1905호(대륭테크노타운19차)",37.4746528,126.8822218,제조업,중소기업 58,0,0,1,1
(주)청류에프앤에스,서울특별시 ,"서울특별시 금천구 시흥대로 281, 703호 (시흥동, 새한벤처월드)",37.458507,126.8981453,도매 및 소매업,중소기업 14,1,1,0,2
(주)친환경계획그룹 청연,서울특별시 ,"서울특별시 강남구 논현로71길 6(역삼동, 청연빌딩) ",37.4943617,127.0372571,"전문, 과학 및 기술 서비스업",중소기업 74,1,0,0,1
(주)컨트롤웍스,서울특별시 ,"서울특별시 강남구 언주로81길 13, 진일빌딩 3층 301호",37.4999491,127.0426097,도매 및 소매업,중소기업 48,1,0,1,2
(주)케이아이엔엑스,서울특별시 ,"서울특별시 서초구 서초대로 396, 21층(서초동, 강남빌딩)",37.4965304,127.024758,정보통신업,중소기업 147,1,1,1,3
(주)코리아리서치인터내셔널,서울특별시 ,"서울특별시 강남구 테헤란로7길 12, 3층(역삼동, 허바허바빌딩)",37.5001575,127.0308708,"전문, 과학 및 기술 서비스업",중소기업 79,0,1,1,2
