 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)지앤글로벌,"서울특별시 서초구 동작대로 108, 제비110호(방배동,디오슈페리움2)",정보통신업,중소기업 19,0,0,1,1
(주)서현기술단,"서울특별시 영등포구 영신로19길 7, 3층(영등포동) ","전문, 과학 및 기술 서비스업",중소기업 240,1,1,0,2
(주)투와이드컴퍼니,"서울특별시 강남구 남부순환로351길 19, 4,6층(도곡동)",정보통신업,중소기업 69,0,0,1,1
(주)유브레인커뮤니케이션즈,"서울특별시 마포구 창전로 90, 6층(신수동,지씨빌딩)","전문, 과학 및 기술 서비스업",중소기업 47,0,1,1,2
알서포트 주식회사,"서울특별시 송파구 위례성대로 10, 9~15층(방이동,에스타워)","전문, 과학 및 기술 서비스업",중소기업 305,1,1,1,3
(주)아이포트폴리오,"서울특별시 중구 남대문로9길 24, 패스트파이브타워 다동 11층",정보통신업,중소기업 36,1,1,1,3
주식회사 님버스네트웍스,"서울특별시 구로구 디지털로 306, 1108호(구로동,대륭포스트타워2차)",정보통신업,중소기업 32,1,1,1,3
(주)지더블유캐드코리아,"서울특별시 강남구 학동로23길 49, 2,3층(논현동,아바드빌딩)",정보통신업,중소기업 26,1,1,1,3
(주)올에프엔비,서울특별시 용산구 한강대로14길 69,"전문, 과학 및 기술 서비스업",중소기업 39,1,1,0,2
(주)드림인사이트,"서울특별시 구로구 디지털로33길 12, 1410~1412호(구로동,우림이비즈센터2차)","전문, 과학 및 기술 서비스업",중소기업 123,0,1,1,2
(주)엔비커뮤니티,"서울특별시 서초구 강남대로101길 43, 3층(잠원동,유명빌딩)","전문, 과학 및 기술 서비스업",중소기업 14,0,0,1,1
(주)스탠드포인트,"서울특별시 금천구 가산디지털1로 205, 902-2호(가산동,케이씨씨웰츠밸리) ",정보통신업,중소기업 14,0,1,1,2
오아 주식회사,서울특별시 서초구 효령로46길 97(서초동),도매 및 소매업,중소기업 170,1,1,1,3
(주)대곤코퍼레이션,"서울특별시 구로구 디지털로 285, 12층(구로동,에이스트윈타워1차)",제조업,중소기업 133,1,1,0,2
주식회사 미르테크,"서울특별시 서초구 사임당로 64, 3층(서초동,교대벤처타워)",정보통신업,중소기업 20,0,1,0,1
주식회사 브리지텍,"서울특별시 영등포구 국제금융로2길 32, 17,18층(여의도동,여의도파이낸스타워)",정보통신업,중소기업 187,1,1,0,2
주식회사 훼밀리익스프레스,"서울특별시 강서구 양천로551-24, 803~806호(가양동,한화비즈메트로2차)",기타,중소기업 31,1,0,1,2
(주)쿨앤쿨,"서울특별시 서초구 남부순환로356길 70, 4층(양재동,양전빌딩)",도매 및 소매업,중소기업 42,1,1,1,3
한국아즈빌 주식회사,"서울특별시 영등포구 여의대로 14, 8층(여의도동,KT여의도지점)",도매 및 소매업,중견기업 133,1,1,0,2
(주)콜텍,"서울특별시 강서구 화곡로61길 59(등촌동,콜텍빌딩)",제조업,중견기업 65,1,0,1,2
(주)디디알플러스,"서울특별시 금천구 가마산로 96, 1214호(가산동,대륭테크노타운8차)",정보통신업,중소기업 27,0,1,1,2
대신통신기술(주),"서울특별시 영등포구 버드나루로 9, 3,4층(영등포동2가,천일빌딩)",기타,중소기업 98,0,1,0,1
(주)세일종합기술공사,"서울특별시 영등포구 영등포로 362(신길동,세일빌딩)","전문, 과학 및 기술 서비스업",중소기업 270,1,1,0,2
나이스솔루션뱅크,"서울특별시 금천구 디지털로9길 99, 1114호(가산동,스타밸리)",정보통신업,중소기업 15,0,0,1,1
(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동,동아빌라트)",정보통신업,중소기업 67,1,1,1,3
